iter	RMSE
0	0.5835092709
1	0.5475172142
2	0.5159783271
3	0.4880489686
4	0.4628945633
5	0.4411521484
6	0.4217326761
7	0.4058617957
8	0.3911851964
9	0.3778906041
10	0.3665956945
11	0.357281662
12	0.3483459696
13	0.3400968986
14	0.3325719691
15	0.3261441453
16	0.3210134005
17	0.3160259939
18	0.3122194976
19	0.3079326042
20	0.3044342678
21	0.3008360556
22	0.2984204816
23	0.2953751381
24	0.2927283429
25	0.2906604014
26	0.2882385731
27	0.2861759147
28	0.2838202766
29	0.2818401931
30	0.2802329649
31	0.2785601555
32	0.2769801341
33	0.2759141342
34	0.2748147508
35	0.2736930347
36	0.2725299999
37	0.2712627664
38	0.270075265
39	0.2688940902
40	0.267895498
41	0.2667242529
42	0.2656651049
43	0.2648838317
44	0.2642190908
45	0.2633879869
46	0.2626130932
47	0.262116987
48	0.261431853
49	0.2610387614
50	0.2603411076
51	0.2595295795
52	0.2589973835
53	0.2586194154
54	0.2581291991
55	0.2576653562
56	0.2570461024
57	0.2565480036
58	0.2559038113
59	0.2555243149
60	0.254951641
61	0.2546340196
62	0.2540320667
63	0.2536509879
64	0.2531509892
65	0.2527123484
66	0.2521485935
67	0.2517496249
68	0.2514474138
69	0.2510492632
70	0.2506431871
71	0.2499126045
72	0.2495790711
73	0.2489496566
74	0.2484343173
75	0.248218987
76	0.2476364517
77	0.2473559346
78	0.2472985754
79	0.2469183827
80	0.2465334758
81	0.2461687852
82	0.2455828714
83	0.2450993518
84	0.2447654497
85	0.2445019113
86	0.2444045447
87	0.2442330423
88	0.2439077292
89	0.2434999952
90	0.2432288334
91	0.2429322819
92	0.2423107133
93	0.2419676548
94	0.241829616
95	0.2412626482
96	0.2408514179
97	0.2403469295
98	0.2401432414
99	0.2399509191
100	0.2395870729
101	0.2395179352
102	0.2392178954
103	0.23911235
104	0.2387709799
105	0.2386136044
106	0.2382583978
107	0.2378643763
108	0.2376600765
109	0.2372053957
110	0.2370031398
111	0.2364264376
112	0.2363205148
113	0.2358691681
114	0.2353867076
115	0.2353356686
116	0.2351053416
117	0.2350663107
118	0.234764626
119	0.2342128586
120	0.2340423412
121	0.2337688178
122	0.2334582683
123	0.2330038936
124	0.2326143903
125	0.2323882123
126	0.2322709541
127	0.2320288255
128	0.2316415501
129	0.2314159245
130	0.2311680004
131	0.2310783372
132	0.2306604337
133	0.2302176342
134	0.2298471844
135	0.2295467383
136	0.2293011938
137	0.2290871594
138	0.2287787879
139	0.2284979439
140	0.2280899257
141	0.2279470656
142	0.2277831987
143	0.2274361833
144	0.2270300982
145	0.2266914515
146	0.2265134679
147	0.2262095607
148	0.2261699466
149	0.2257710945
150	0.2255193707
151	0.22522024
152	0.2248183476
153	0.2245861149
154	0.2241702936
155	0.2239120011
156	0.2236543404
157	0.22359557
158	0.2231917938
159	0.2228457458
160	0.2224757935
161	0.2221960712
162	0.221802799
163	0.2216358023
164	0.2211638904
165	0.2210066934
166	0.220682847
167	0.2205271251
168	0.2200671891
169	0.2198626142
170	0.2195249824
171	0.219347817
172	0.2190517399
173	0.2188198138
174	0.2184209027
175	0.2182126373
176	0.2180169182
177	0.2176138923
178	0.2174321632
179	0.2173948603
180	0.2168633707
181	0.2167210553
182	0.2164459047
183	0.2160907089
184	0.2160447732
185	0.2159855634
186	0.2159501481
187	0.2158104311
188	0.215788584
189	0.2154761252
190	0.215298992
191	0.2152093069
192	0.2151213384
193	0.2149581033
194	0.2146583322
195	0.21444146
196	0.2141855877
197	0.2138587077
198	0.2135810056
199	0.2133608166
200	0.2133416987
201	0.2130719398
202	0.2128536331
203	0.2127510874
204	0.2124955
205	0.2121300025
206	0.2116989218
207	0.2115189188
208	0.2112129519
209	0.211175619
210	0.2108636329
211	0.2107755864
212	0.2104615889
213	0.2104348473
214	0.2102203741
215	0.2101656445
216	0.2099929264
217	0.2097322533
218	0.2096499762
219	0.2094943177
220	0.2093264173
221	0.2090102283
222	0.2088853089
223	0.2086271181
224	0.2083219405
225	0.2082403554
226	0.2080195837
227	0.2077730058
228	0.2076121738
229	0.207460145
230	0.2071860122
231	0.2069701475
232	0.2066455145
233	0.2063374754
234	0.2062064775
235	0.2059423299
236	0.2059152926
237	0.2057824987
238	0.2057640913
239	0.2056788284
240	0.2054588919
241	0.2052384804
242	0.2049266311
243	0.2045408328
244	0.2043145541
245	0.2041534776
246	0.2039152194
247	0.2036993495
248	0.2035421048
249	0.2035087421
250	0.2033539366
251	0.2031562522
252	0.2028958647
253	0.2025646387
254	0.2021968952
255	0.2021719243
256	0.20193894
257	0.2016444446
258	0.2012616282
259	0.2010829898
260	0.2009564838
261	0.2008648171
262	0.2005681673
263	0.2004990723
264	0.2004828977
265	0.2001375259
266	0.1997583852
267	0.1996133985
268	0.1994422614
269	0.199168696
270	0.1991525762
271	0.1987515662
272	0.1985533932
273	0.1981753899
274	0.1980347643
275	0.1978113914
276	0.197609489
277	0.1975126267
278	0.1973962404
279	0.1973183968
280	0.1973108282
281	0.1970408414
282	0.1969443509
283	0.1966862958
284	0.1966700457
285	0.1964400021
286	0.1961778698
287	0.1961568906
288	0.1959900142
289	0.1956424995
290	0.1953320466
291	0.1951666536
292	0.195019199
293	0.194921379
294	0.1946479253
295	0.1945446004
296	0.1943923464
297	0.1942801039
298	0.1941455385
299	0.1940234365
300	0.1938205229
301	0.19362957
302	0.1934463053
303	0.1931153093
304	0.1931067094
305	0.1930656536
306	0.1929353106
307	0.1927042656
308	0.192535171
309	0.1925214754
310	0.192363225
311	0.1922714701
312	0.1921486075
313	0.1920639321
314	0.1919191567
315	0.1917006776
316	0.1915379702
317	0.1913561521
318	0.1912079869
319	0.1909602178
320	0.1906897593
321	0.1904643062
322	0.1902771241
323	0.1901566876
324	0.190002348
325	0.1899028504
326	0.1896341261
327	0.1894291976
328	0.1894115283
329	0.1892616846
330	0.1889257754
331	0.1887543111
332	0.1886925302
333	0.1884326849
334	0.1881204446
335	0.1881088562
336	0.1879256126
337	0.1877986129
338	0.1875466777
339	0.1873812561
340	0.1873736922
341	0.1871922031
342	0.1869693979
343	0.1869631643
344	0.1867761933
345	0.18650582
346	0.186309705
347	0.1861958398
348	0.1860051375
349	0.1857454834
350	0.1855165951
351	0.1855024633
352	0.185314722
353	0.1851487253
354	0.1848878435
355	0.1847411854
356	0.1846477641
357	0.1845463945
358	0.18441376
359	0.1842336898
360	0.1841242211
361	0.1841152884
362	0.1840446368
363	0.1839190868
364	0.1838117151
365	0.1836117828
366	0.1833758558
367	0.1831158547
368	0.1829122693
369	0.1827251594
370	0.1826053204
371	0.182426572
372	0.182348316
373	0.1821530098
374	0.1820410731
375	0.1819640314
376	0.1816147807
377	0.1814475293
378	0.1812829254
379	0.1810585676
380	0.1809145539
381	0.1807831634
382	0.1805301512
383	0.1804500861
384	0.180293356
385	0.1801645446
386	0.1801067638
387	0.1800925781
388	0.1799598535
389	0.1798657659
390	0.1796995945
391	0.1795395838
392	0.17949753
393	0.1793583683
394	0.1791237168
395	0.1789802098
396	0.1787753436
397	0.1787567089
398	0.1785465765
399	0.1783068727
400	0.1781180837
401	0.17796964
402	0.1777844277
403	0.1777752567
404	0.1776425257
405	0.1774039561
406	0.177348205
407	0.1771861626
408	0.1769908621
409	0.1767636512
410	0.1766754926
411	0.1764758217
412	0.1763499157
413	0.1761452663
414	0.1759915347
415	0.175953207
416	0.1758779004
417	0.1758736032
418	0.1755681516
419	0.1753825243
420	0.1752571381
421	0.1751513304
422	0.1748806083
423	0.1747616862
424	0.1746345898
425	0.1744840266
426	0.1744759851
427	0.1742636039
428	0.1741397232
429	0.1739628559
430	0.173737649
431	0.1735171495
432	0.1733617636
433	0.17321692
434	0.1730388552
435	0.1729981351
436	0.1728486774
437	0.1726961929
438	0.1725949404
439	0.1725669652
440	0.1724436971
441	0.172313516
442	0.1722083124
443	0.1720701657
444	0.171996663
445	0.1719113666
446	0.1719048713
447	0.171751245
448	0.171588977
449	0.171363227
450	0.1713587418
451	0.171305866
452	0.1711969898
453	0.1710305311
454	0.1709323835
455	0.1708457414
456	0.1706857739
457	0.1706143862
458	0.1704089345
459	0.1701154094
460	0.1698900799
461	0.1696839819
462	0.1694171411
463	0.1692547694
464	0.1691467167
465	0.1689360151
466	0.1689221724
467	0.1687530059
468	0.1686163907
469	0.1684872619
470	0.1683699455
471	0.16826098
472	0.1680832228
473	0.167949006
474	0.1676526998
475	0.1674102871
476	0.1673594726
477	0.1671504413
478	0.167145633
479	0.1669751172
480	0.1668686107
481	0.1666768369
482	0.1665938536
483	0.1665900358
484	0.1664679504
485	0.1664152768
486	0.1662847882
487	0.1660558745
488	0.1658965092
489	0.1658916005
490	0.1657475194
491	0.1655810123
492	0.1655274795
493	0.1654220845
494	0.1652585787
495	0.1651935488
496	0.1649786683
497	0.164776765
498	0.1645095259
499	0.1644752642
500	0.1643828223
501	0.1642616205
502	0.1641031363
503	0.1639823235
504	0.1637809314
505	0.16358845
506	0.1634830406
507	0.1634373272
508	0.1632933602
509	0.163208253
510	0.1632046868
511	0.1629865891
512	0.1628079059
513	0.1627151542
514	0.1626196681
515	0.1624209835
516	0.1622815881
517	0.1622777087
518	0.1621569203
519	0.1620620141
520	0.1619292957
521	0.1617563053
522	0.1616156398
523	0.1613815464
524	0.1611494956
525	0.1609833989
526	0.1607939023
527	0.1606815694
528	0.1605729638
529	0.160432937
530	0.1603622113
531	0.1603534351
532	0.1602475903
533	0.1601725662
534	0.1601129026
535	0.1599553384
536	0.1599094906
537	0.1598077528
538	0.1596433161
539	0.1595606615
540	0.1594148192
541	0.1593487082
542	0.1592468143
543	0.1590876776
544	0.1589525961
545	0.1587757144
546	0.1586924119
547	0.1585395538
548	0.1583952848
549	0.1581653385
550	0.158114422
551	0.1579639163
552	0.1578310494
553	0.1576967321
554	0.1575048339
555	0.1573490184
556	0.1572051805
557	0.1571011691
558	0.1569627352
559	0.1569015257
560	0.1567871993
561	0.15652024
562	0.1564343464
563	0.1563073977
564	0.1562466762
565	0.1561192181
566	0.1559347055
567	0.1558147772
568	0.1558056463
569	0.1557272417
570	0.1556339189
571	0.155502842
572	0.1553094135
573	0.1551162168
574	0.1549981389
575	0.1548679546
576	0.1547207362
577	0.1545958799
578	0.1545218829
579	0.1544240047
580	0.1543394781
581	0.1543343062
582	0.154084414
