iter	Passed	Remaining
0	8	8090
1	16	8126
2	26	8823
3	35	8947
4	45	9053
5	54	9058
6	62	8912
7	70	8799
8	81	9004
9	91	9020
10	99	8960
11	108	8921
12	117	8944
13	126	8876
14	134	8851
15	143	8802
16	152	8831
17	161	8798
18	170	8806
19	181	8909
20	191	8905
21	200	8895
22	208	8864
23	219	8919
24	230	8971
25	239	8978
26	248	8960
27	259	9010
28	268	8978
29	277	8985
30	287	8984
31	296	8966
32	305	8956
33	315	8972
34	326	9001
35	336	9005
36	345	8980
37	354	8981
38	363	8964
39	372	8929
40	381	8914
41	390	8898
42	399	8890
43	408	8876
44	417	8850
45	425	8832
46	434	8805
47	443	8803
48	452	8788
49	461	8772
50	471	8770
51	482	8789
52	493	8817
53	503	8816
54	513	8824
55	523	8818
56	531	8788
57	538	8748
58	546	8718
59	555	8704
60	563	8679
61	572	8663
62	581	8645
63	589	8624
64	598	8615
65	609	8624
66	617	8600
67	626	8587
68	635	8570
69	643	8543
70	651	8524
71	659	8501
72	669	8495
73	680	8520
74	688	8493
75	697	8477
76	706	8473
77	715	8458
78	723	8433
79	731	8408
80	739	8389
81	748	8375
82	757	8368
83	765	8350
84	773	8328
85	782	8311
86	790	8295
87	798	8273
88	807	8265
89	815	8247
90	823	8227
91	831	8207
92	842	8212
93	850	8196
94	858	8179
95	866	8161
96	874	8137
97	883	8129
98	898	8174
99	905	8146
100	912	8124
101	920	8099
102	927	8077
103	935	8058
104	943	8043
105	951	8023
106	960	8017
107	969	8006
108	978	7995
109	986	7985
110	996	7978
111	1005	7972
112	1013	7957
113	1021	7942
114	1030	7926
115	1039	7921
116	1048	7916
117	1057	7906
118	1067	7900
119	1077	7899
120	1086	7890
121	1096	7892
122	1106	7887
123	1114	7872
124	1121	7853
125	1129	7836
126	1137	7817
127	1145	7805
128	1153	7789
129	1162	7778
130	1173	7783
131	1180	7765
132	1188	7746
133	1195	7727
134	1203	7713
135	1211	7699
136	1221	7692
137	1229	7678
138	1237	7664
139	1245	7652
140	1253	7636
141	1262	7627
142	1269	7610
143	1278	7598
144	1286	7588
145	1296	7581
146	1304	7567
147	1312	7556
148	1319	7538
149	1328	7525
150	1335	7510
151	1344	7500
152	1352	7487
153	1360	7473
154	1367	7456
155	1375	7444
156	1383	7430
157	1391	7417
158	1400	7408
159	1409	7398
160	1417	7387
161	1425	7373
162	1434	7365
163	1442	7351
164	1449	7335
165	1457	7323
166	1465	7310
167	1481	7339
168	1489	7324
169	1497	7312
170	1507	7306
171	1515	7293
172	1523	7282
173	1531	7268
174	1540	7263
175	1548	7249
176	1556	7237
177	1564	7225
178	1573	7215
179	1580	7201
180	1589	7192
181	1597	7181
182	1608	7180
183	1618	7179
184	1627	7168
185	1634	7153
186	1642	7140
187	1650	7128
188	1658	7115
189	1666	7106
190	1675	7095
191	1684	7087
192	1691	7071
193	1699	7062
194	1708	7053
195	1717	7047
196	1727	7043
197	1737	7038
198	1746	7027
199	1755	7021
200	1763	7009
201	1770	6995
202	1779	6986
203	1787	6974
204	1796	6966
205	1804	6957
206	1814	6950
207	1822	6940
208	1831	6932
209	1839	6921
210	1848	6912
211	1856	6901
212	1864	6887
213	1872	6875
214	1880	6864
215	1887	6851
216	1895	6838
217	1904	6831
218	1912	6820
219	1921	6811
220	1930	6806
221	1939	6797
222	1946	6783
223	1954	6772
224	1963	6764
225	1971	6751
226	1980	6743
227	1987	6730
228	2007	6760
229	2013	6742
